disasterNumber,state,county,city,zipCode,totalValidRegistrations,validCallCenterRegistrations,validWebRegistrations,validMobileRegistrations,ihpReferrals,ihpEligible,ihpAmount,haReferrals,haEligible,haAmount,onaReferrals,onaEligible,onaAmount,id
4399,FL,"Bay County, Florida",ALTHA,32421,1,1,0,0,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e3bb
4399,FL,"Bay County, Florida",APALACHICOLA,32320,1,0,1,0,1,0,0,1,0,0,1,0,0,6210b8ca835fa6921ac1e3bc
4399,FL,"Bay County, Florida",BRISTOL,32321,1,0,1,0,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e3bf
4399,FL,"Bay County, Florida",CALLAWAY,32404,433,91,148,194,403,151,801671.82,398,137,631252.67,183,79,170419.15,6210b8ca835fa6921ac1e3c1
4399,FL,"Bay County, Florida",CRESTVIEW,32539,1,0,1,0,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e3c5
4399,FL,"Bay County, Florida",EBRO,32437,11,5,2,4,6,3,7053.51,6,2,3193.26,4,2,3860.25,6210b8ca835fa6921ac1e3c8
4399,FL,"Bay County, Florida",FLEMING ISLAND,32003,1,0,1,0,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e3c9
4399,FL,"Bay County, Florida",FOUNTAIN,32438,1367,739,254,374,1278,710,3971642.79,1259,642,3398617.64,688,304,573025.15,6210b8ca835fa6921ac1e3ca
4399,FL,"Bay County, Florida",LYNN HAVEN,23444,1,0,0,1,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e3d2
4399,FL,"Bay County, Florida",LYNNHAVEN,32444,1,0,0,1,1,1,2368.87,1,0,0,1,1,2368.87,6210b8ca835fa6921ac1e3d7
4399,FL,"Bay County, Florida",MELBOURNE,32935,1,0,0,1,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e3d9
4399,FL,"Bay County, Florida",P C BEACH,32408,110,1,48,61,87,16,33741.72,84,10,14840.54,33,7,18901.18,6210b8ca835fa6921ac1e3df
4399,FL,"Bay County, Florida",PALM BAY,32905,1,0,0,1,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e3e1
4399,FL,"Bay County, Florida",PANAMA,32404,1,0,0,1,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e3e4
4399,FL,"Bay County, Florida",PANAMA BEACH,32508,1,0,1,0,1,1,500,1,0,0,1,1,500,6210b8ca835fa6921ac1e3e8
4399,FL,"Bay County, Florida",PANAMA CITY,23401,2,1,1,0,2,0,0,2,0,0,2,0,0,6210b8ca835fa6921ac1e3ea
4399,FL,"Bay County, Florida",PANAMA CITY,32045,1,0,1,0,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e3ec
4399,FL,"Bay County, Florida",PANAMA CITY,32304,2,0,0,2,2,1,4887.31,1,1,1734,2,1,3153.31,6210b8ca835fa6921ac1e3ee
4399,FL,"Bay County, Florida",PANAMA CITY,32400,1,0,0,1,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e3ef
4399,FL,"Bay County, Florida",PANAMA CITY,32407,49,27,5,17,41,8,12540.4,37,6,10555.72,23,4,1984.68,6210b8ca835fa6921ac1e3f6
4399,FL,"Bay County, Florida",PANAMA CITY,32444,1,0,1,0,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e3fc
4399,FL,"Bay County, Florida",PANAMA CITY BEACH,32048,1,0,1,0,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e401
4399,FL,"Bay County, Florida",PANAMA CITY BEACH,32404,1,0,0,1,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e403
4399,FL,"Bay County, Florida",PANAMA CITY BEACH FLORIDA,32143,1,0,1,0,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e409
4399,FL,"Bay County, Florida",PCB,32407,1,0,0,1,1,1,2022,1,1,2022,1,0,0,6210b8ca835fa6921ac1e40b
4399,FL,"Bay County, Florida",PENSACOLA,32534,1,1,0,0,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e40e
4399,FL,"Bay County, Florida",PORT ST JOE,32456,171,150,16,5,122,45,322447.8,122,42,296425.65,37,10,26022.15,6210b8ca835fa6921ac1e411
4399,FL,"Bay County, Florida",RICHMOND HILL,31325,1,0,1,0,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e413
4399,FL,"Bay County, Florida",ROSEMARY BCH,32413,1,1,0,0,1,0,0,1,0,0,1,0,0,6210b8ca835fa6921ac1e414
4399,FL,"Bay County, Florida",SAINT AUGUSTINE,32095,1,0,1,0,1,0,0,1,0,0,1,0,0,6210b8ca835fa6921ac1e416
4399,FL,"Bay County, Florida",SHALIMAR,32579,1,1,0,0,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e418
4399,FL,"Bay County, Florida",SOUTH PORT,32049,1,1,0,0,1,0,0,1,0,0,1,0,0,6210b8ca835fa6921ac1e419
4399,FL,"Bay County, Florida",SOUTHPORT,32409,477,114,175,188,437,156,878737.52,434,127,768963.2,174,79,109774.32,6210b8ca835fa6921ac1e41c
4399,FL,"Bay County, Florida",TYNDALL,32403,1,0,1,0,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e422
4399,FL,"Bay County, Florida",YULEE,32041,1,1,0,0,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e42a
4399,FL,"Calhoun County, Florida",ALFORD,32420,1,0,1,0,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e42b
4399,FL,"Calhoun County, Florida",CLARKSVILLE,32430,444,255,89,100,418,200,1483252.98,412,188,1329548.4,194,84,153704.58,6210b8ca835fa6921ac1e432
4399,FL,"Calhoun County, Florida",FLORIDA,32424,1,0,0,1,1,1,2270.68,1,1,2006,1,1,264.68,6210b8ca835fa6921ac1e434
4399,FL,"Calhoun County, Florida",GRAND RIDGE,32442,36,31,2,3,34,13,127644.22,34,10,99759.13,13,8,27885.09,6210b8ca835fa6921ac1e436
4399,FL,"Calhoun County, Florida",KINDARD,32449,1,0,0,1,1,0,0,1,0,0,1,0,0,6210b8ca835fa6921ac1e438
4399,FL,"Calhoun County, Florida",MARIANNA,32448,3,2,0,1,3,1,1941.05,3,1,1941.05,2,0,0,6210b8ca835fa6921ac1e439
4399,FL,"Calhoun County, Florida",WEWAHITCHKA,32465,2,0,1,1,1,1,1949.13,1,1,1949.13,1,0,0,6210b8ca835fa6921ac1e43f
4399,FL,"Calhoun County, Florida",YOUNGSTOWN,32466,40,18,10,12,40,15,70747.23,40,15,66491.95,10,3,4255.28,6210b8ca835fa6921ac1e440
4399,FL,"Franklin County, Florida",CARRABELLE,32322,429,244,115,70,318,103,530027.34,287,88,469367.29,127,37,60660.05,6210b8ca835fa6921ac1e444
4399,FL,"Franklin County, Florida",PORT ST JOE,32456,1,1,0,0,1,1,29975.44,1,1,29975.44,0,0,0,6210b8ca835fa6921ac1e44b
4399,FL,"Gadsden County, Florida",GREENSBORO,32330,28,8,14,6,24,10,43496.49,24,9,42594.39,8,3,902.1,6210b8ca835fa6921ac1e453
4399,FL,"Gadsden County, Florida",JACKSONVILLE,32223,1,0,1,0,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e458
4399,FL,"Gadsden County, Florida",QUINCY,32352,1175,605,310,260,947,230,715238.74,908,164,631283.03,376,113,83955.71,6210b8ca835fa6921ac1e45d
4399,FL,"Gadsden County, Florida",QUINCY,32532,1,0,0,1,1,1,1552,1,1,1552,0,0,0,6210b8ca835fa6921ac1e45e
4399,FL,"Gulf County, Florida",BRISTOL,32321,1,0,0,1,1,0,0,0,0,0,1,0,0,6210b8ca835fa6921ac1e462
4399,FL,"Gulf County, Florida",DEFUNIAK SPRINGS,32433,1,1,0,0,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e464
4399,FL,"Gulf County, Florida",OVERSTREET,32456,3,0,2,1,2,1,8403.43,1,1,8403.43,2,0,0,6210b8ca835fa6921ac1e467
4399,FL,"Gulf County, Florida",VENICE,34293,1,0,0,1,1,0,0,1,0,0,1,0,0,6210b8ca835fa6921ac1e46f
4399,FL,"Gulf County, Florida",WEWAHITCHKA,32449,1,1,0,0,1,0,0,1,0,0,1,0,0,6210b8ca835fa6921ac1e471
4399,FL,"Holmes County, Florida",BONIFAY,32425,876,420,205,251,656,162,359553.85,566,113,290916.95,292,81,68636.9,6210b8ca835fa6921ac1e475
4399,FL,"Holmes County, Florida",BONIFAY,32428,1,0,0,1,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e476
4399,FL,"Holmes County, Florida",CARYVILLE,32425,4,3,0,1,4,2,8906.81,4,2,7599.43,3,2,1307.38,6210b8ca835fa6921ac1e478
4399,FL,"Holmes County, Florida",CARYVILLE,32427,2,2,0,0,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e479
4399,FL,"Holmes County, Florida",COTTONDALE,32431,1,1,0,0,1,0,0,1,0,0,1,0,0,6210b8ca835fa6921ac1e47a
4399,FL,"Holmes County, Florida",HUDSON,34669,1,0,1,0,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e47e
4399,FL,"Holmes County, Florida",MARIANNA,32446,1,1,0,0,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e47f
4399,FL,"Jackson County, Florida",ALFORD,32426,1,0,0,1,1,1,4055.02,1,1,4055.02,1,0,0,6210b8ca835fa6921ac1e486
4399,FL,"Jackson County, Florida",GRACEVILLE,32400,1,0,1,0,1,0,0,1,0,0,1,0,0,6210b8ca835fa6921ac1e48e
4399,FL,"Jackson County, Florida",GRAND RIDGE,32442,1083,571,237,275,1005,414,1777271.32,982,338,1524711.84,445,197,252559.48,6210b8ca835fa6921ac1e490
4399,FL,"Jackson County, Florida",GREENWOOD,32446,1,0,0,1,1,0,0,1,0,0,1,0,0,6210b8ca835fa6921ac1e494
4399,FL,"Jackson County, Florida",JACKSONVILLE,32246,1,0,1,0,1,0,0,0,0,0,1,0,0,6210b8ca835fa6921ac1e498
4399,FL,"Bay County, Florida",BRADENTON,34205,3,1,1,1,3,0,0,2,0,0,1,0,0,6210b8ca835fa6921ac1e3be
4399,FL,"Bay County, Florida",CRESTVIEW,32536,1,1,0,0,1,1,1734,1,1,1734,0,0,0,6210b8ca835fa6921ac1e3c4
4399,FL,"Bay County, Florida",FOUNTAIN,32448,1,1,0,0,1,0,0,1,0,0,1,0,0,6210b8ca835fa6921ac1e3cb
4399,FL,"Bay County, Florida",FOUNTAIN,32468,1,0,0,1,1,0,0,1,0,0,1,0,0,6210b8ca835fa6921ac1e3cd
4399,FL,"Bay County, Florida",HIALEAH,33012,1,1,0,0,1,0,0,1,0,0,1,0,0,6210b8ca835fa6921ac1e3d0
4399,FL,"Bay County, Florida",JACKSONVILLE,32218,1,0,1,0,1,0,0,1,0,0,1,0,0,6210b8ca835fa6921ac1e3d1
4399,FL,"Bay County, Florida",LYNN HAVEN,32405,69,47,14,8,66,18,64631.01,66,17,60134,23,4,4497.01,6210b8ca835fa6921ac1e3d4
4399,FL,"Bay County, Florida",LYNN HAVEN,32444,7074,3175,2069,1830,6707,1659,7462519.6,6630,1395,5821206.52,2341,877,1641313.08,6210b8ca835fa6921ac1e3d5
4399,FL,"Bay County, Florida",MEXICO BEACH,32410,50,17,25,8,35,22,243827.9,35,20,228362.4,12,8,15465.5,6210b8ca835fa6921ac1e3da
4399,FL,"Bay County, Florida",MEXICO BEACH,32456,782,290,350,142,540,281,2712033.38,536,266,2407116.07,191,91,304917.31,6210b8ca835fa6921ac1e3db
4399,FL,"Bay County, Florida",NICEVILLE,32578,1,0,1,0,1,0,0,1,0,0,1,0,0,6210b8ca835fa6921ac1e3dd
4399,FL,"Bay County, Florida",P C BEACH,32413,3,0,1,2,3,0,0,2,0,0,2,0,0,6210b8ca835fa6921ac1e3e0
4399,FL,"Bay County, Florida",PANAMA,32541,1,0,0,1,1,1,1734,1,1,1734,0,0,0,6210b8ca835fa6921ac1e3e7
4399,FL,"Bay County, Florida",PANAMA CITY,23408,1,0,0,1,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e3eb
4399,FL,"Bay County, Florida",PANAMA CITY,32413,15,5,3,7,15,2,6173.07,13,2,4284.34,6,2,1888.73,6210b8ca835fa6921ac1e3fa
4399,FL,"Bay County, Florida",PANAMA CITY,34205,1,0,0,1,1,1,4353.87,1,1,2022,1,1,2331.87,6210b8ca835fa6921ac1e3fe
4399,FL,"Bay County, Florida",PANAMA CITY,35904,1,0,0,1,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e3ff
4399,FL,"Bay County, Florida",PANAMA CITY BCH,32413,1,0,1,0,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e400
4399,FL,"Bay County, Florida",PANAMA CITY BEACH,32401,6,1,3,2,5,1,854.62,5,0,0,4,1,854.62,6210b8ca835fa6921ac1e402
4399,FL,"Bay County, Florida",PANAMA CITY BEACH,32407,1699,494,578,627,1333,158,493536.89,1192,123,424887.91,545,65,68648.98,6210b8ca835fa6921ac1e404
4399,FL,"Bay County, Florida",PANAMA CITY BEACH,32413,1214,327,468,419,885,85,206147.07,790,56,174859.14,347,38,31287.93,6210b8ca835fa6921ac1e407
4399,FL,"Bay County, Florida",PORT SAINT JOE,32456,5,3,1,1,3,0,0,3,0,0,1,0,0,6210b8ca835fa6921ac1e40f
4399,FL,"Bay County, Florida",PRETTY BAYOU,32405,1,1,0,0,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e412
4399,FL,"Bay County, Florida",SANTA ROSA BEACH,32459,1,1,0,0,1,0,0,0,0,0,1,0,0,6210b8ca835fa6921ac1e417
4399,FL,"Bay County, Florida",SOUTH PORT,32409,4,3,0,1,4,1,4070.45,4,1,4070.45,0,0,0,6210b8ca835fa6921ac1e41a
4399,FL,"Bay County, Florida",TALLAHASSEE,32310,1,0,0,1,1,0,0,0,0,0,1,0,0,6210b8ca835fa6921ac1e41f
4399,FL,"Bay County, Florida",TYNDALL,32404,1,0,0,1,1,0,0,1,0,0,1,0,0,6210b8ca835fa6921ac1e423
4399,FL,"Bay County, Florida",TYNDALL AFB,32403,125,8,62,55,108,28,106360.46,106,25,78117.97,43,9,28242.49,6210b8ca835fa6921ac1e424
4399,FL,"Bay County, Florida",UNIT K,32405,1,0,0,1,1,0,0,1,0,0,1,0,0,6210b8ca835fa6921ac1e425
4399,FL,"Bay County, Florida",YOUNGTOWN,32466,1,0,0,1,1,1,4345.48,1,1,1734,1,1,2611.48,6210b8ca835fa6921ac1e429
4399,FL,"Calhoun County, Florida",BONIFAY,32425,1,0,0,1,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e431
4399,FL,"Calhoun County, Florida",PANAMA CITY,32401,1,0,1,0,1,1,1212,1,1,1212,0,0,0,6210b8ca835fa6921ac1e43a
4399,FL,"Calhoun County, Florida",WEWAHITCHKA,32449,99,76,9,14,93,50,216140.99,93,47,195608.4,51,21,20532.59,6210b8ca835fa6921ac1e43e
4399,FL,"Franklin County, Florida",APALACHICOLA,32320,600,254,187,159,482,120,512045.74,443,95,417525.94,205,55,94519.8,6210b8ca835fa6921ac1e442
4399,FL,"Franklin County, Florida",FORT LAUDERDALE,33304,1,0,1,0,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e446
4399,FL,"Franklin County, Florida",LANARK VILLAGE,32323,19,15,1,3,13,5,11834.37,9,3,10021.03,7,3,1813.34,6210b8ca835fa6921ac1e447
4399,FL,"Franklin County, Florida",PANACEA,32346,49,29,14,6,27,15,52548.47,26,14,48594.11,9,7,3954.36,6210b8ca835fa6921ac1e448
4399,FL,"Franklin County, Florida",POMPANO BEACH,33076,1,0,1,0,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e449
4399,FL,"Franklin County, Florida",SAINT GEORGE ISLAND,32328,70,8,45,17,51,24,93687.07,48,17,81128.18,22,11,12558.89,6210b8ca835fa6921ac1e44c
4399,FL,"Franklin County, Florida",SOPCHOPPY,32358,5,3,2,0,4,2,15343.28,4,2,13872.45,2,2,1470.83,6210b8ca835fa6921ac1e44d
4399,FL,"Franklin County, Florida",ST GEORGE ISL,32328,2,0,2,0,1,1,11159.59,1,1,10949.6,1,1,209.99,6210b8ca835fa6921ac1e44e
4399,FL,"Gadsden County, Florida",CHATTAHOOCHEE,32324,982,519,221,242,859,304,809623.93,835,251,722014.62,380,123,87609.31,6210b8ca835fa6921ac1e451
4399,FL,"Gadsden County, Florida",GREENSBORO,32305,1,0,0,1,1,0,0,1,0,0,1,0,0,6210b8ca835fa6921ac1e452
4399,FL,"Gadsden County, Florida",QUINCY,32351,2788,1372,636,780,2168,513,1372074.6,1988,366,1162786.75,953,250,209287.85,6210b8ca835fa6921ac1e45c
4399,FL,"Gulf County, Florida",PORT ST. JOE,32456,1,1,0,0,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e46e
4399,FL,"Gulf County, Florida",WEWAHICHKA,32465,1,0,0,1,1,1,4822.82,1,1,4822.82,0,0,0,6210b8ca835fa6921ac1e470
4399,FL,"Gulf County, Florida",WEWAHITCHKA,32465,1980,991,390,599,1808,697,2743623.42,1758,592,2466759.21,814,295,276864.21,6210b8ca835fa6921ac1e472
4399,FL,"Gulf County, Florida",WEWAHITCHKA,32645,1,0,0,1,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e473
4399,FL,"Holmes County, Florida",PONCE DE LEON,32422,1,0,0,1,1,0,0,1,0,0,1,0,0,6210b8ca835fa6921ac1e482
4399,FL,"Holmes County, Florida",PONCE DE LEON,32455,118,57,26,35,74,17,23896,67,12,20568.8,45,9,3327.2,6210b8ca835fa6921ac1e483
4399,FL,"Jackson County, Florida",ALFORD,32431,1,1,0,0,1,1,1388,1,1,1388,0,0,0,6210b8ca835fa6921ac1e487
4399,FL,"Jackson County, Florida",ALFORD,32460,1,1,0,0,1,1,529.36,1,0,0,1,1,529.36,6210b8ca835fa6921ac1e488
4399,FL,"Jackson County, Florida",BASCOM,32423,316,170,70,76,284,97,327004.42,276,83,287903.97,116,38,39100.45,6210b8ca835fa6921ac1e489
4399,FL,"Jackson County, Florida",CAMPBELLTON,32426,195,122,37,36,167,70,385661.76,165,64,333554.17,69,27,52107.59,6210b8ca835fa6921ac1e48a
4399,FL,"Jackson County, Florida",CYPRESS,32432,15,6,4,5,14,7,18057.31,14,5,12716.23,8,5,5341.08,6210b8ca835fa6921ac1e48d
4399,FL,"Jackson County, Florida",MARIANNA,23448,1,0,0,1,1,0,0,1,0,0,1,0,0,6210b8ca835fa6921ac1e49c
4399,FL,"Bay County, Florida",CALLAWAY CITY,32404,1,1,0,0,1,1,1734,1,1,1734,0,0,0,6210b8ca835fa6921ac1e3c2
4399,FL,"Bay County, Florida",DUNNELLON,34433,1,0,1,0,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e3c7
4399,FL,"Bay County, Florida",GREENVILLE,32331,1,1,0,0,1,0,0,0,0,0,1,0,0,6210b8ca835fa6921ac1e3ce
4399,FL,"Bay County, Florida",GULF BREEZE,32563,1,0,1,0,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e3cf
4399,FL,"Bay County, Florida",LYNN HAVEN,32404,1,0,1,0,1,1,5458.99,1,1,4880.16,1,1,578.83,6210b8ca835fa6921ac1e3d3
4399,FL,"Bay County, Florida",MARIANNA,32446,1,1,0,0,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e3d8
4399,FL,"Bay County, Florida",P C BEACH,32407,9,0,4,5,6,0,0,6,0,0,1,0,0,6210b8ca835fa6921ac1e3de
4399,FL,"Bay County, Florida",PALM BAY,32909,1,0,1,0,1,0,0,1,0,0,1,0,0,6210b8ca835fa6921ac1e3e2
4399,FL,"Bay County, Florida",PANAMA,32405,1,0,0,1,1,1,4295.04,1,1,2022,1,1,2273.04,6210b8ca835fa6921ac1e3e5
4399,FL,"Bay County, Florida",PANAMA CITY,32401,10630,5577,2220,2833,9894,5030,25428920.45,9765,4455,20029953.2,5570,2848,5398967.25,6210b8ca835fa6921ac1e3f0
4399,FL,"Bay County, Florida",PANAMA CITY,32402,5,0,1,4,5,2,4638.53,4,2,3468,4,1,1170.53,6210b8ca835fa6921ac1e3f1
4399,FL,"Bay County, Florida",PANAMA CITY,32406,4,0,1,3,2,1,1734,2,1,1734,1,0,0,6210b8ca835fa6921ac1e3f5
4399,FL,"Bay County, Florida",PANAMA CITY,32408,2442,1138,748,556,1994,321,928458.36,1917,237,764429.76,681,161,164028.6,6210b8ca835fa6921ac1e3f7
4399,FL,"Bay County, Florida",PANAMA CITY,32409,2257,1250,511,496,2108,713,3498723.88,2076,581,3031074.84,888,344,467649.04,6210b8ca835fa6921ac1e3f8
4399,FL,"Bay County, Florida",PANAMA CITY,32414,1,0,1,0,1,1,3897.63,1,1,2858,1,1,1039.63,6210b8ca835fa6921ac1e3fb
4399,FL,"Bay County, Florida",PANAMA CITY BEACH,32461,2,0,2,0,1,0,0,0,0,0,1,0,0,6210b8ca835fa6921ac1e408
4399,FL,"Bay County, Florida",PARKER,32404,111,24,31,56,101,57,213006.34,97,48,168056.74,56,30,44949.6,6210b8ca835fa6921ac1e40a
4399,FL,"Bay County, Florida",PCB,32413,2,0,1,1,1,0,0,1,0,0,1,0,0,6210b8ca835fa6921ac1e40d
4399,FL,"Bay County, Florida",SPRINGFIELD,32404,12,6,4,2,11,9,75309.15,11,9,67042.35,7,3,8266.8,6210b8ca835fa6921ac1e41e
4399,FL,"Bay County, Florida",THOMAS DRIVE,32408,1,0,0,1,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e421
4399,FL,"Bay County, Florida",WEWAHITCHKA,32465,2,2,0,0,2,1,4506.62,2,1,4506.62,2,0,0,6210b8ca835fa6921ac1e427
4399,FL,"Calhoun County, Florida",ALTHA,23421,1,0,0,1,1,1,1212,1,1,1212,1,0,0,6210b8ca835fa6921ac1e42c
4399,FL,"Calhoun County, Florida",ALTHA,32421,1467,859,289,319,1390,713,3765231.04,1370,616,3183233.18,680,315,581997.86,6210b8ca835fa6921ac1e42d
4399,FL,"Calhoun County, Florida",ALTHA,32424,1,0,0,1,1,0,0,1,0,0,1,0,0,6210b8ca835fa6921ac1e42e
4399,FL,"Calhoun County, Florida",ALTHEA,32421,1,0,0,1,1,0,0,1,0,0,1,0,0,6210b8ca835fa6921ac1e42f
4399,FL,"Calhoun County, Florida",KINARD,32449,128,53,26,49,121,72,523446.69,121,71,488481.02,56,27,34965.67,6210b8ca835fa6921ac1e437
4399,FL,"Calhoun County, Florida",PANAMA CITY,32405,1,1,0,0,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e43b
4399,FL,"Calhoun County, Florida",PANAMA CITY BEACH,32407,1,0,1,0,1,0,0,1,0,0,1,0,0,6210b8ca835fa6921ac1e43c
4399,FL,"Franklin County, Florida",ALLIGATOR POINT,32346,20,3,14,3,11,5,27035.7,10,4,16265.73,5,3,10769.97,6210b8ca835fa6921ac1e441
4399,FL,"Franklin County, Florida",BRISTOL,32321,3,1,1,1,3,3,7232.36,3,2,6756.48,2,1,475.88,6210b8ca835fa6921ac1e443
4399,FL,"Franklin County, Florida",PORT SAINT JOE,32456,1,0,1,0,1,1,4446.04,1,1,4446.04,0,0,0,6210b8ca835fa6921ac1e44a
